longitude,latitude,price,property_type,property_subtype,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,furnished,province,land_surface,balcony,swimming_pool,availability_clean
4.3876671,50.8469517,395000,Appartment,Duplex,1900.0,Excellent,120.0,2.0,2.0,False,True,Brussels,573.0,False,False,On contract
4.3766927,50.8235717,465000,Appartment,Flat,1959.0,Fully renovated,83.0,2.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3415279,50.8103165,190000,Appartment,Flat,1975.0,To be renovated,50.0,1.0,1.0,False,False,Brussels,573.0,False,False,Immediately
4.3333333,50.8,155000,Appartment,FlatStudio,1978.0,Excellent,54.0,1.0,1.0,False,False,Brussels,573.0,False,False,Unknown
4.4005491,50.8501828,329000,Appartment,Flat,1959.0,Normal,115.0,2.0,1.0,True,False,Brussels,573.0,True,False,Unknown
4.3242407,50.8455239,319000,Appartment,Duplex,1944.0,To renovate,144.0,3.0,1.0,False,False,Brussels,573.0,True,False,Unknown
4.4528542,50.832327,925000,House,House,1936.0,To be renovated,200.0,5.0,2.0,False,False,Brussels,440.0,False,False,Unknown
4.3733382,50.8516118,295000,Appartment,Flat,1902.0,Normal,70.0,2.0,1.0,False,False,Brussels,573.0,False,False,On contract
4.3742387,50.8512144,150000,Appartment,FlatStudio,1965.0,To renovate,34.0,0.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3193694,50.8569755,550000,House,MixedBuilding,1960.0,Excellent,240.0,2.0,2.0,False,False,Brussels,573.0,False,False,Unknown
4.38865,50.81896,1080000,Appartment,Flat,1975.0,Excellent,253.0,3.0,1.0,True,False,Brussels,573.0,True,False,Negotiable
4.3515499,50.8427501,339000,Appartment,Flat,1997.0,Excellent,80.0,1.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3672239,50.8227567,185000,Appartment,FlatStudio,1975.0,Normal,38.0,3.0,1.0,True,False,Brussels,573.0,False,False,Immediately
4.30253,50.87113,225000,Appartment,Flat,1950.0,Normal,85.0,1.0,1.0,True,False,Brussels,573.0,False,False,Unknown
4.399615,50.874464,235000,Appartment,Flat,1975.0,To renovate,90.0,3.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3766927,50.8235717,310000,Appartment,GroundFloor,1975.0,Normal,60.0,1.0,1.0,True,False,Brussels,573.0,False,False,Unknown
4.4140542,50.8135769,300000,Appartment,Flat,1962.0,Normal,70.0,2.0,1.0,False,False,Brussels,573.0,False,False,On contract
4.3166667,50.8,350000,House,House,1884.0,To be renovated,170.0,7.0,1.0,False,False,Brussels,573.0,False,False,Unknown
4.3333333,50.8,1290000,House,Villa,1927.0,Excellent,330.0,6.0,3.0,False,False,Brussels,450.0,False,False,On contract
4.3333333,50.8,1100000,House,Villa,1905.0,To be renovated,204.0,4.0,2.0,False,False,Brussels,1594.0,False,False,On contract
4.3789342,50.8411553,435000,Appartment,Flat,2014.0,Normal,88.0,2.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3166667,50.8,175000,Appartment,Flat,1938.0,To be renovated,52.0,1.0,1.0,False,False,Brussels,573.0,False,False,Unknown
4.4329851,50.8381484,975000,House,House,1954.0,Excellent,240.0,5.0,2.0,False,False,Brussels,585.0,False,False,On contract
4.3333333,50.8,1690000,House,Villa,1910.0,To be renovated,230.0,5.0,1.0,False,False,Brussels,1200.0,False,False,On contract
4.3515499,50.8427501,355000,Appartment,Flat,1975.0,Unknown,55.0,1.0,1.0,False,False,Brussels,573.0,False,False,Unknown
4.3407539,50.7748717,1995000,House,House,1875.0,Normal,415.0,5.0,2.0,False,False,Brussels,77000.0,False,True,On contract
4.381355,50.8242662,235000,Appartment,Flat,1953.0,To be renovated,62.0,1.0,1.0,False,False,Brussels,573.0,False,False,On contract
4.3102106,50.8420959,280000,Appartment,Flat,2009.0,Unknown,96.0,2.0,1.0,True,False,Brussels,573.0,False,False,Unknown
4.4033689,50.830747,210000,Appartment,FlatStudio,1975.0,Normal,46.0,0.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.435191,50.8477202,375000,Appartment,Flat,1965.0,Normal,123.0,3.0,2.0,True,False,Brussels,573.0,True,False,On contract
4.3246279,50.8142177,420000,Appartment,Penthouse,2019.0,Unknown,92.0,2.0,2.0,False,False,Brussels,573.0,False,False,Unknown
4.373188,50.8941796,215000,Appartment,Flat,1974.0,Normal,61.0,1.0,1.0,False,False,Brussels,573.0,False,False,Unknown
4.418088,50.895148,325000,Appartment,GroundFloor,2026.0,New,74.0,1.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3515499,50.8427501,239000,Appartment,Flat,1930.0,Excellent,71.0,1.0,1.0,False,False,Brussels,573.0,False,False,Immediately
4.2841726,50.8257354,200000,Appartment,Flat,1963.0,Unknown,76.0,2.0,1.0,True,False,Brussels,573.0,False,False,Unknown
4.3544508,50.8203664,1300000,House,House,1929.0,Excellent,250.0,4.0,3.0,True,False,Brussels,139.0,False,False,On contract
4.344549,50.8516921,345000,Appartment,Flat,1975.0,Normal,96.0,1.0,1.0,False,False,Brussels,573.0,False,False,Negotiable
4.3719368,50.8203122,450000,Appartment,Flat,1975.0,Normal,120.0,2.0,2.0,True,False,Brussels,573.0,False,False,On contract
4.308187,50.8365808,179000,Appartment,Flat,1975.0,Fully renovated,60.0,2.0,1.0,False,False,Brussels,573.0,False,False,On contract
4.43382,50.83227,1395000,House,Villa,1899.0,New,180.0,3.0,1.0,False,False,Brussels,573.0,False,False,Immediately
4.3213266,50.8690254,750000,House,MixedBuilding,1933.0,To renovate,282.0,5.0,3.0,False,False,Brussels,150.0,False,False,On contract
4.3333333,50.8,595000,Appartment,Flat,1975.0,Unknown,144.0,2.0,2.0,False,False,Brussels,573.0,False,False,Unknown
4.3926085,50.8037413,495000,Appartment,Flat,1974.0,Normal,113.0,2.0,1.0,True,False,Brussels,573.0,False,False,Unknown
4.3841357,50.8776808,215000,Appartment,Flat,1975.0,Normal,75.0,1.0,1.0,False,False,Brussels,573.0,False,False,Unknown
4.4387447,50.818351,1995000,House,House,1962.0,Normal,452.0,5.0,3.0,False,False,Brussels,1250.0,False,False,On contract
4.3766927,50.8235717,1300000,Appartment,Penthouse,1929.0,Excellent,278.0,4.0,1.0,True,False,Brussels,573.0,False,False,Immediately
4.399615,50.874464,495000,House,House,1975.0,Normal,190.0,3.0,1.0,False,False,Brussels,573.0,False,False,Immediately
4.3889399,50.8078925,245000,Appartment,FlatStudio,1957.0,Normal,68.0,0.0,1.0,True,False,Brussels,573.0,False,False,On contract
4.3193694,50.8569755,179000,Appartment,Flat,1975.0,Fully renovated,60.0,2.0,1.0,False,False,Brussels,573.0,False,False,On contract
